index,transliteration,word
G0178,akatakritos,ἀκατάκριτος
G0179,akatalutos,ἀκατάλυτος
G0180,akatapaustos,ἀκατάπαυστος
G0181,akatastasia,ἀκαταστασία
G0182,akatastatos,ἀκατάστατος
G0184,"Akeldama, Hakeldamach","Ἀκελδαμά, Ἁκελδαμάχ"
G0185,akeraios,ἀκέραιος
G0186,aklines,ἀκλινής
G0187,akmazo,ἀκμάζω
G0188,akmen,ἀκμήν
G0189,akoe,ἀκοή
G0190,akoloutheo,ἀκολουθέω
G0191,akouo,ἀκούω
G0192,akrasia,ἀκρασία
G0193,akrates,ἀκράτης
G0194,akratos,ἄκρατος
G0195,akribeia,ἀκρίβεια
G0196,akribestatos,ἀκριβέστατος
G0198,akriboo,ἀκριβόω
G0199,akribos,ἀκριβῶς
G0200,akris,ἀκρίς
G0201,akroaterion,ἀκροατήριον
G0202,akroates,ἀκροατής
G0203,akrobustia,ἀκροβυστία
G0204,akrogoniaios,ἀκρογωνιαῖος
G0205,akrothinion,ἀκροθίνιον
G0206,akron,ἄκρον
G0207,Akulas,Ἀκύλας
G0208,akuroo,ἀκυρόω
G0209,akolutos,ἀκωλύτως
G0210,akon,ἄκων
G0211,alabastron,ἀλάβαστρον
G0212,alazoneia,ἀλαζονεία
G0213,alazon,ἀλαζών
G0214,alalazo,ἀλαλάζω
G0215,alaletos,ἀλάλητος
G0216,alalos,ἄλαλος
G0217,halas,ἅλας
G0218,aleipho,ἀλείφω
G0219,alektorophonia,ἀλεκτοροφωνία
G0220,alektor,ἀλέκτωρ
G0221,Alexandreus,Ἀλεξανδρεύς
G0222,Alexandrinos,Ἀλεξανδρίνος
G0223,Alexandros,Ἀλέξανδρος
G0224,aleuron,ἄλευρον
G0225,aletheia,ἀλήθεια
G0226,aletheuo,ἀληθεύω
G0227,alethes,ἀληθής
G0228,alethinos,ἀληθινός
G0229,aletho,ἀλήθω
G0230,alethos,ἀληθῶς
G0231,halieus,ἁλιεύς
G0232,halieuo,ἁλιεύω
G0233,halizo,ἁλίζω
G0234,alisgema,ἀλίσγεμα
G0235,alla,ἀλλά
G0236,allasso,ἀλλάσσω
G0237,allachothen,ἀλλαχόθεν
G0237a,allachou,ἀλλαχοῦ
G0238,allegoreo,ἀλληγορέω
G0239,allelouia,ἀλληλουϊα
G0240,allelon,ἀλλήλων
G0241,allogenes,ἀλλογενής
G0242,hallomai,ἅλλομαι
G0243,allos,ἄλλος
G0244,allotriepiskopos,ἀλλοτριεπίσκοπος
G0245,allotrios,ἀλλότριος
G0246,allophulos,ἀλλόφυλος
G0247,allos,ἄλλως
G0248,aloao,ἀλοάω
G0249,alogos,ἄλογος
G0250,aloe,ἀλοή
G0252,halukos,ἁλυκός
G0253,alupoteros,ἀλυπότερος
G0254,halusis,ἅλυσις
G0255,alusiteles,ἀλυσιτελής
G0256,Alphaios,Ἀλφαῖος
G0257,halon,ἅλων
G0258,alopex,ἀλώπηξ
G0259,halosis,ἅλωσις
G0260,hama,ἅμα
G0261,amathes,ἀμαθής
G0262,amarantinos,ἀμαράντινος
G0263,amarantos,ἀμάραντος
G0264,hamartano,ἁμαρτάνω
G0265,hamartema,ἁμάρτημα
G0266,hamartia,ἁμαρτία
G0267,amarturos,ἀμάρτυρος
G0268,hamartolos,ἁμαρτωλός
G0269,amachos,ἄμαχος
G0270,amao,ἀμάω
G0271,amethustos,ἀμέθυστος
G0272,ameleo,ἀμελέω
G0273,amemptos,ἄμεμπτος
G0274,amemptos,ἀμέμπτως
G0275,amerimnos,ἀμέριμνος
G0276,ametathetos,ἀμετάθετος
G0277,ametakinetos,ἀμετακίνητος
G0278,ametameletos,ἀμεταμέλητος
G0279,ametanoetos,ἀμετανόητος
G0280,ametros,ἄμετρος
G0281,amen,ἀμήν
G0282,ametor,ἀμήτωρ
G0283,amiantos,ἀμίαντος
G0284,Aminadab,Ἀμιναδάβ
G0285,ammos,ἄμμος
G0286,amnos,ἀμνός
G0287,amoibe,ἀμοιβή
G0288,ampelos,ἄμπελος
G0289,ampelourgos,ἀμπελουργός
G0290,ampelon,ἀμπελών
G0291,"Ampliatos, Amplias","Ἀμπλιᾶτος, Ἀμπλίας"
G0292,amunomai,ἀμύνομαι
G0292a,amphiballo,ἀμφιβάλλω
G0293a,amphiezo,ἀμφιέζω
G0294,amphiennumi,ἀμφιέννυμι
G0295,Amphipolis,Ἀμφίπολις
G0297,amphoteroi,ἀμφότεροι
G0298,amometos,ἀμώμητος
G0298a,amomon,ἄμωμον
G0299,amomos,ἄμωμος
G0301,Amos,Ἀμώς
G0302,an,ἄν
G0303,ana,ἀνά
G0304,anabathmos,ἀναβαθμός
G0305,anabaino,ἀναβαίνω
G0306,anaballomai,ἀναβάλλομαι
G0307,anabibazo,ἀναβιβάζω
G0308,anablepo,ἀναβλέπω
G0309,anablepsis,ἀνάβλεψις
G0310,anaboao,ἀναβοάω
G0311,anabole,ἀναβολή
G0311a,anagaion,ἀνάγαιον
G0312,anaggello,ἀναγγέλλω
G0313,anagennao,ἀναγεννάω
G0314,anaginosko,ἀναγινώσκω
G0315,anagkazo,ἀναγκάζω
G0316,anagkaios,ἀναγκαῖος
G0317,anagkastos,ἀναγκαστῶς
G0318,anagke,ἀναγκή
G0319,anagnorizomai,ἀναγνωρίζομαι
G0320,anagnosis,ἀνάγνωσις
G0321,anago,ἀνάγω
G0322,anadeiknumi,ἀναδείκνυμι
G0323,anadeixis,ἀνάδειξις
G0324,anadechomai,ἀναδέχομαι
G0325,anadidomi,ἀναδίδωμι
G0326,anazao,ἀναζάω
G0327,anazeteo,ἀναζητέω
G0328,anazonnumi,ἀναζώννυμι
G0329,anazopureo,ἀναζωπυρέω
G0330,anathallo,ἀναθάλλω
G0331,anathema,ἀνάθεμα
G0332,anathematizo,ἀναθεματίζω
G0333,anatheoreo,ἀναθεωρέω
G0334,anathema,ἀνάθημα
G0335,anaideia,ἀναίδεια
G0336,anairesis,ἀναίρεσις
G0337,anaireo,ἀναιρέω
G0338,anaitios,ἀναίτιος
G0339,anakathizo,ἀνακαθίζω
G0340,anakainizo,ἀνακαινίζω
G0341,anakainoo,ἀνακαινόω
G0342,anakainosis,ἀνακαίνωσις
G0343,anakalupto,ἀνακαλύπτω
G0344,anakampto,ἀνακάμπτω
G0345,anakeimai,ἀνακεῖμαι
G0346,anakephalaiomai,ἀνακεφαλαίομαι
G0347,anaklino,ἀνακλίνω
G0349,anakrazo,ἀνακράζω
G0350,anakrino,ἀνακρίνω
G0351,anakrisis,ἀνάκρισις
G0352,anakupto,ἀνακύπτω
G0353,analambano,ἀναλαμβάνω
G0354,"analempsis, analepsis","ἀνάλημψις, ἀνάληψις"
G0355,analisko,ἀναλίσκω
G0356,analogia,ἀναλογία
G0357,analogizomai,ἀναλογίζομαι
G0358,analos,ἄναλος
G0359,analusis,ἀνάλυσις
G0360,analuo,ἀναλύω
G0361,anamartetos,ἀναμάρτητος
G0362,anameno,ἀναμένω
G0363,anamimnesko,ἀναμιμνήσκω
G0364,anamnesis,ἀνάμνησις
G0365,ananeoo,ἀνανεόω
G0366,ananepho,ἀνανήφω
G0367,Ananias,Ἀνανίας
G0368,anantirrhetos,ἀναντίῤῥητος
G0369,anantirrhetos,ἀναντιῤῥήτως
G0370,anaxios,ἀνάξιος
G0371,anaxios,ἀναξίως
G0372,anapausis,ἀνάπαυσις
G0373,anapauo,ἀναπαύω
G0374,anapeitho,ἀναπείθω
G0374a,anapeiros,ἀνάπειρος
G0375,anapempo,ἀναπέμπω
G0375a,anapedao,ἀναπηδάω
G0376,anaperos,ἀνάπηρος
G0377,anapipto,ἀναπίπτω
G0378,anapleroo,ἀναπληρόω
G0379,anapologetos,ἀναπολόγητος
G0380,anaptusso,ἀναπτύσσω
G0381,anapto,ἀνάπτω
G0382,anarithmetos,ἀναρίθμητος
G0383,anaseio,ἀνασείω
G0384,anaskeuazo,ἀνασκευάζω
G0385,anaspao,ἀνασπάω
G0386,anastasis,ἀνάστασις
G0387,anastatoo,ἀναστατόω
G0388,anastauroo,ἀνασταυρόω
G0389,anastenazo,ἀναστενάζω
G0390,anastrepho,ἀναστρέφω
G0391,anastrophe,ἀναστροφή
G0392,anatassomai,ἀνατάσσομαι
G0393,anatello,ἀνατέλλω
G0394,anatithemai,ἀνατίθεμαι
G0395,anatole,ἀνατολή
G0396,anatrepo,ἀνατρέπω
G0397,anatrepho,ἀνατρέφω
G0398,anaphaino,ἀναφαίνω
G0399,anaphero,ἀναφέρω
G0400,anaphoneo,ἀναφωνέω
G0401,anachusis,ἀνάχυσις
G0402,anachoreo,ἀναχωρέω
G0403,anapsuxis,ἀνάψυξις
G0404,anapsucho,ἀναψύχω
G0405,andrapodistes,ἀνδραποδιστής
G0406,Andreas,Ἀνδρέας
G0407,andrizomai,ἀνδρίζομαι
G0408,Andronikos,Ἀνδρόνικος
G0409,androphonos,ἀνδροφόνος
G0410,anegkletos,ἀνέγκλητος
G0411,anekdiegetos,ἀνεκδιήγητος
G0412,aneklaletos,ἀνεκλάλητος
G0413,anekleiptos,ἀνέκλειπτος
G0414,anektoteros,ἀνεκτότερος
G0415,aneleemon,ἀνελεήμων
G0415a,aneleos,ἀνέλεος
G0416,anemizo,ἀνεμίζω
G0417,anemos,ἄνεμος
G0418,anendektos,ἀνένδεκτος
G0419,anexereunetos,ἀνεξερεύνητος
